date,areaType,areaCode,areaName,cumPeopleReceivingFirstDose,cumPeopleReceivingSecondDose,transmissionRateMax,transmissionRateMin
"2021-03-05",overview,K02000001,United Kingdom,,,0.9,0.7
"2021-02-26",overview,K02000001,United Kingdom,,,0.9,0.6
"2021-02-19",overview,K02000001,United Kingdom,,,0.9,0.6
"2021-02-12",overview,K02000001,United Kingdom,,,0.9,0.7
"2021-02-05",overview,K02000001,United Kingdom,,,1,0.7
"2021-01-29",overview,K02000001,United Kingdom,,,1.1,0.7
"2021-01-22",overview,K02000001,United Kingdom,,,1,0.8
"2021-01-15",overview,K02000001,United Kingdom,,,1.3,1.2
"2021-01-08",overview,K02000001,United Kingdom,,,1.4,1
"2020-12-23",overview,K02000001,United Kingdom,,,1.3,1.1
"2020-12-18",overview,K02000001,United Kingdom,,,1.2,1.1
"2020-12-11",overview,K02000001,United Kingdom,,,1,0.9
"2020-12-04",overview,K02000001,United Kingdom,,,1,0.8
"2020-11-27",overview,K02000001,United Kingdom,,,1,0.9
"2020-11-20",overview,K02000001,United Kingdom,,,1.1,1
"2020-11-13",overview,K02000001,United Kingdom,,,1.2,1
"2020-11-06",overview,K02000001,United Kingdom,,,1.3,1.1
"2020-10-30",overview,K02000001,United Kingdom,,,1.3,1.1
"2020-10-23",overview,K02000001,United Kingdom,,,1.4,1.2
"2020-10-16",overview,K02000001,United Kingdom,,,1.5,1.3
"2020-10-09",overview,K02000001,United Kingdom,,,1.5,1.2
"2020-10-02",overview,K02000001,United Kingdom,,,1.6,1.3
"2020-09-25",overview,K02000001,United Kingdom,,,1.5,1.2
"2020-09-18",overview,K02000001,United Kingdom,,,1.4,1.1
"2020-09-11",overview,K02000001,United Kingdom,,,1.2,1
"2020-09-04",overview,K02000001,United Kingdom,,,1.1,0.9
"2020-08-28",overview,K02000001,United Kingdom,,,1.1,0.9
"2020-08-21",overview,K02000001,United Kingdom,,,1.1,0.9
"2020-08-14",overview,K02000001,United Kingdom,,,1,0.8
"2020-08-07",overview,K02000001,United Kingdom,,,1,0.8
"2020-07-31",overview,K02000001,United Kingdom,,,0.9,0.8
"2020-07-24",overview,K02000001,United Kingdom,,,0.9,0.7
"2020-07-17",overview,K02000001,United Kingdom,,,0.9,0.7
"2020-07-10",overview,K02000001,United Kingdom,,,0.9,0.7
"2020-07-03",overview,K02000001,United Kingdom,,,0.9,0.7
"2020-06-25",overview,K02000001,United Kingdom,,,0.9,0.7
"2020-06-19",overview,K02000001,United Kingdom,,,0.9,0.7
"2020-06-12",overview,K02000001,United Kingdom,,,0.9,0.7
"2020-06-05",overview,K02000001,United Kingdom,,,0.9,0.7
"2020-05-29",overview,K02000001,United Kingdom,,,0.9,0.7
"2020-05-22",overview,K02000001,United Kingdom,,,1,0.7
"2020-05-11",overview,K02000001,United Kingdom,,,1,0.7
"2020-05-04",overview,K02000001,United Kingdom,,,0.9,0.5
"2020-04-27",overview,K02000001,United Kingdom,,,0.9,0.6